_id,AÑO,CVE_ENT,ENTIDAD,HOMBRES,MUJERES,DESCONOCIDO,TOTAL,POBLACION_HOMBRES,POBLACION_MUJERES,POBLACION_TOTAL,TASA_HOMBRES,TASA_MUJERES,TASA_TOTAL
156,1994,19,Nuevo León,85,8,0,93,1761358,1751048,3512406,4.82582189424296,0.456869257724517,2.64775769088198
157,1994,20,Oaxaca,53,13,0,66,1611236,1659090,3270326,3.28940018718549,0.783562073184698,2.01814742628105
158,1994,21,Puebla,54,8,0,62,2283910,2375263,4659173,2.36436637170466,0.336804808562252,1.33070826088664
159,1994,22,Querétaro,17,1,0,18,609217,622572,1231789,2.79046710777933,0.16062399208445,1.46128923054192
160,1994,23,Quintana Roo,28,4,0,32,342671,320540,663211,8.1711028946132,1.24789417857366,4.82501044162416
161,1994,24,San Luis Potosí,85,9,0,94,1098065,1113317,2211382,7.74088965589469,0.808395093221427,4.2507355129055
162,1994,25,Sinaloa,61,6,0,67,1218318,1202388,2420706,5.00690295965421,0.499006976117526,2.76778757932603
163,1994,26,Sonora,79,10,0,89,1042300,1021661,2063961,7.57939172982827,0.978798251083285,4.31209698245267
164,1994,27,Tabasco,140,19,0,159,865318,859832,1725150,16.1790232030306,2.20973399454777,9.21658986175115
165,1994,28,Tamaulipas,102,12,0,114,1252935,1261400,2514335,8.14088520154677,0.951323925796734,4.53400203234653
166,1994,29,Tlaxcala,8,2,0,10,434774,443263,878037,1.84003643272137,0.451199400807196,1.13890416918649
167,1994,30,Veracruz,137,24,0,161,3356877,3409879,6766756,4.08117425809763,0.703837291587179,2.37927893365743
168,1994,31,Yucatán,48,19,0,67,772715,776146,1548861,6.21186336488874,2.44799303223878,4.32575938060291
169,1994,32,Zacatecas,37,5,0,42,671882,691735,1363617,5.50691936977029,0.722820155117205,3.08004373662106
170,1994,33,Extranjero,29,1,0,30,,,,,,
171,1995,0,Nacional,2459,451,2,2912,45753998,46752746,92506744,5.37439373057629,0.96464922081796,3.14787860223466
172,1995,1,Aguascalientes,16,4,0,20,428411,443316,871727,3.73473136777534,0.902290916637342,2.29429626477097
173,1995,2,Baja California,82,7,0,89,1070105,1045041,2115146,7.66279944491428,0.669830178911641,4.20774736117507
174,1995,3,Baja California Sur,22,3,0,25,193233,185094,378327,11.385218880833,1.62079808097507,6.60804013459256
175,1995,4,Campeche,20,11,0,31,325870,319727,645597,6.13741676128518,3.44043512121278,4.80175713332001
176,1995,5,Coahuila,66,7,0,73,1098538,1101859,2200397,6.00798515845606,0.63528999626994,3.31758314522334
177,1995,6,Colima,20,2,0,22,247216,247863,495079,8.09009125622937,0.806897358621497,4.44373524225427
178,1995,7,Chiapas,57,14,0,71,1819205,1807854,3627059,3.13323677100712,0.774398817603634,1.95750882464278
179,1995,8,Chihuahua,138,26,0,164,1412529,1411282,2823811,9.7697109227492,1.84229657857182,5.80775413085366
180,1995,9,Ciudad de México,269,60,0,329,4150642,4457301,8607943,6.48092511953572,1.34610608527447,3.82205133096258
181,1995,10,Durango,41,3,0,44,727908,735603,1463511,5.63257994142117,0.407828679328388,3.00646869070338
182,1995,11,Guanajuato,90,15,0,105,2182755,2293809,4476564,4.12322958829553,0.653934133138374,2.34554895227679
183,1995,12,Guerrero,37,16,0,53,1461528,1500131,2961659,2.53159706827375,1.06657351924599,1.7895375531079
184,1995,13,Hidalgo,31,12,0,43,1062749,1082422,2145171,2.91696345985741,1.10862491708409,2.00450220518551
185,1995,14,Jalisco,185,37,0,222,2997883,3120243,6118126,6.17102135073317,1.18580507992486,3.62856207930337
186,1995,15,Estado de México,136,35,0,171,5859221,5967583,11826804,2.32112767209156,0.586502106464208,1.44586821596096
187,1995,16,Michoacán,106,20,0,126,1942256,2029700,3971956,5.45757098961208,0.985367295659457,3.17224057869725
188,1995,17,Morelos,36,6,0,42,714468,739191,1453659,5.03871412015654,0.811698194377367,2.88926082389336
189,1995,18,Nayarit,24,3,0,27,457178,453233,910411,5.24959643727388,0.661911202405827,2.96569351644477
190,1995,19,Nuevo León,88,9,1,98,1799240,1789375,3588615,4.89095395833797,0.50296891372686,2.73085856242589
191,1995,20,Oaxaca,68,15,0,83,1623209,1673686,3296895,4.18923256339757,0.896225456865864,2.5175202728628
192,1995,21,Puebla,67,12,0,79,2322467,2418745,4741212,2.88486338019012,0.496125056589264,1.66624061526884
193,1995,22,Querétaro,43,7,0,50,625095,639418,1264513,6.87895439893136,1.09474553422018,3.95409141701192
194,1995,23,Quintana Roo,31,4,0,35,361923,339557,701480,8.56535782473067,1.17800546005531,4.98945087529224
195,1995,24,San Luis Potosí,66,11,0,77,1112520,1128795,2241315,5.93247761837989,0.974490496502908,3.4354831873253
196,1995,25,Sinaloa,71,8,1,80,1235743,1220298,2456041,5.74553123100839,0.655577572035683,3.25727461390099
197,1995,26,Sonora,90,4,0,94,1063908,1043625,2107533,8.45937806652455,0.383279434662834,4.46019113342472
198,1995,27,Tabasco,139,21,0,160,885572,881752,1767324,15.696069884775,2.38162204338635,9.05323528679518
199,1995,28,Tamaulipas,109,21,0,130,1275729,1284346,2560075,8.54413437336613,1.63507341479632,5.0779762311651
200,1995,29,Tlaxcala,10,5,0,15,444689,454147,898836,2.24876261836924,1.10096510601193,1.66882501368437
201,1995,30,Veracruz,170,37,0,207,3389643,3451357,6841000,5.01527742007049,1.07204209822397,3.02587341032013
202,1995,31,Yucatán,69,10,0,79,787659,791238,1578897,8.76013604872159,1.26384223204649,5.00349294475827
203,1995,32,Zacatecas,35,5,0,40,674906,695155,1370061,5.18590737080423,0.719264049025038,2.91957803338683
204,1995,33,Extranjero,27,1,0,28,,,,,,
205,1996,0,Nacional,2530,502,2,3034,46474031,47531607,94005638,5.44390048713442,1.05613933902971,3.22746599517786
206,1996,1,Aguascalientes,16,3,0,19,438720,454583,893303,3.64697301239971,0.65994548850265,2.1269378922941
207,1996,2,Baja California,64,9,0,73,1110076,1082021,2192097,5.7653710196419,0.831776832427467,3.33014460582721
208,1996,3,Baja California Sur,28,1,0,29,198879,190174,389053,14.0789123034609,0.525834236015438,7.45399727029479
209,1996,4,Campeche,29,9,0,38,332844,326915,659759,8.71279037627237,2.7530091919918,5.75967891305765
210,1996,5,Coahuila,70,8,0,78,1113822,1116593,2230415,6.28466667025791,0.716465175762341,3.497107040618
211,1996,6,Colima,21,2,0,23,252489,253298,505787,8.31719401637299,0.789583810373552,4.54736875404073
212,1996,7,Chiapas,51,13,1,65,1851574,1842929,3694503,2.75441327216736,0.705398851502147,1.75937061087784
213,1996,8,Chihuahua,158,26,0,184,1441177,1438226,2879403,10.963261278802,1.80778264333978,6.39021352690124
214,1996,9,Ciudad de México,295,62,0,357,4162107,4469174,8631281,7.08775627344516,1.38728096064284,4.13611838150096
215,1996,10,Durango,42,11,0,53,730408,738927,1469335,5.75021084106417,1.48864502176805,3.60707394841884
216,1996,11,Guanajuato,96,23,0,119,2211097,2328114,4539211,4.3417362512816,0.987924130863008,2.62160097867228
217,1996,12,Guerrero,46,20,0,66,1480404,1522713,3003117,3.10725991013264,1.31344514691869,2.19771657248119
218,1996,13,Hidalgo,35,6,0,41,1078426,1102139,2180565,3.24547071379956,0.544395942798504,1.88024663332668
219,1996,14,Jalisco,194,55,0,249,3040932,3162112,6203044,6.37962308923712,1.73934383095855,4.0141582100659
220,1996,15,Estado de México,134,41,0,175,6009685,6128172,12137857,2.22973417075937,0.669041273645714,1.44177015761514
221,1996,16,Michoacán,151,19,1,171,1956269,2048589,4004858,7.71877487196291,0.927467637481213,4.26981431051987
